source_file,snapshotId,collectionTime,businessDate,raw_rows,unique_contracts,duplicate_rows_in_snapshot,cross_snapshot_duplicate_rows,retained_rows_after_dedup,dropped_rows_after_dedup,symbols,firstTradeTime,lastTradeTime
floor_20260424_220704.csv,20260424_220704,2026-04-24 16:22:04,2026-04-24,75229,75229,0,0,75229,0,351,2026-04-24 10:46:00.006490,2026-04-24 14:59:59.972380
floor_20260423_173114.csv,20260423_173114,2026-04-23 11:46:14,2026-04-23,93907,93907,0,0,93907,0,348,2026-04-23 10:46:00.019288,2026-04-23 14:59:59.980881
floor_20260422_153435.csv,20260422_153435,2026-04-22 15:34:35,2026-04-22,121433,121433,0,0,121433,0,342,2026-04-22 10:46:00.006512,2026-04-22 15:00:00.000516
floor_20260421_154659.csv,20260421_154659,2026-04-21 15:46:59,2026-04-21,95800,95800,0,54275,95800,0,347,2026-04-21 10:46:00.004802,2026-04-21 14:59:59.998621
floor_20260421_134555.csv,20260421_134555,2026-04-21 13:45:55,2026-04-21,55215,54275,940,55215,0,55215,335,2026-04-21 10:46:00.004802,2026-04-21 13:44:57.144588
floor.csv,,,2026-04-21,18838,18838,0,18838,0,18838,296,2026-04-21 10:46:00.004802,2026-04-21 11:44:58.548296
